,xPos,yPos,zPos,Energy,Efficiency
0,1221.01,500.0,715.049,1.3325,3.43e-05
1,1283.13,510.0,686.316,1.3325,3.135e-05
2,1259.35,520.0,666.947,1.3325,2.745e-05
3,1240.36,530.0,684.369,1.3325,2.36e-05
4,1232.86,540.0,637.963,1.3325,2.16e-05
5,1205.25,550.0,645.14,1.3325,1.78e-05
6,1192.32,560.0,617.547,1.3325,1.565e-05
7,1206.45,570.0,644.981,1.3325,1.27e-05
8,1198.92,580.0,697.445,1.3325,1.085e-05
9,1176.46,590.0,652.607,1.3325,1.04e-05
10,1193.07,600.0,649.624,1.3325,8.55e-06
11,1222.26,610.0,665.313,1.3325,7.35e-06
12,1204.87,620.0,665.882,1.3325,6.1e-06
13,1153.66,630.0,709.363,1.3325,5.35e-06
14,1251.63,640.0,698.831,1.3325,4.1e-06
15,1222.87,650.0,664.27,1.3325,4.2e-06
16,1181.67,660.0,631.926,1.3325,3.2e-06
17,1186.68,670.0,647.583,1.3325,3.1e-06
18,1239.88,680.0,673.229,1.3325,2.25e-06
19,1227.36,690.0,694.155,1.3325,2.05e-06
20,1230.67,700.0,690.577,1.3325,2e-06
21,1223.48,710.0,647.647,1.3325,1.3e-06
22,1198.7,720.0,659.747,1.3325,1.75e-06
23,1195.29,730.0,689.014,1.3325,1.4e-06
24,1193.12,740.0,666.559,1.3325,1e-06
25,1226.56,750.0,655.506,1.3325,7e-07
26,1254.41,760.0,653.992,1.3325,4e-07
27,1219.07,770.0,663.959,1.3325,6e-07
28,1204.96,780.0,654.1,1.3325,6.5e-07
29,1195.33,790.0,698.071,1.3325,5.5e-07
30,1210.63,800.0,656.668,1.3325,3.5e-07
31,1216.72,810.0,660.799,1.3325,4e-07
32,1220.97,820.0,680.126,1.3325,2.5e-07
33,1212.75,830.0,696.779,1.3325,2e-07
34,1236.31,840.0,649.977,1.3325,3.5e-07
35,1213.61,850.0,687.495,1.3325,5e-08
36,1253.86,860.0,650.822,1.3325,2e-07
37,1196.83,870.0,672.563,1.3325,2e-07
38,1222.1,880.0,692.233,1.3325,1.5e-07
39,1243.94,890.0,628.265,1.3325,2e-07
40,1249.6,900.0,713.491,1.3325,1e-07
41,1188.8,910.0,701.634,1.3325,5e-08
42,1225.09,920.0,689.723,1.3325,5e-08
43,1221.32,930.0,670.652,1.3325,1.5e-07
44,1242.1,940.0,680.332,1.3325,0.0
45,1160.04,950.0,649.719,1.3325,1.5e-07
46,1206.63,960.0,699.988,1.3325,0.0
47,1217.68,970.0,700.372,1.3325,5e-08
48,1214.72,980.0,661.073,1.3325,5e-08
49,1205.04,990.0,680.183,1.3325,0.0
50,1185.9,1000.0,708.792,1.3325,0.0
51,1176.95,1010.0,707.856,1.3325,0.0
52,1199.25,1020.0,668.381,1.3325,0.0
53,1214.41,1030.0,675.655,1.3325,0.0
54,1171.92,1040.0,607.523,1.3325,0.0
55,1227.81,1050.0,676.286,1.3325,0.0
56,1202.63,1060.0,662.576,1.3325,0.0
57,1243.29,1070.0,679.672,1.3325,0.0
58,1233.3,1080.0,724.554,1.3325,0.0
59,1171.01,1090.0,643.389,1.3325,0.0
60,1188.78,1100.0,693.261,1.3325,0.0
61,1143.61,1110.0,651.175,1.3325,0.0
62,1218.3,1120.0,681.014,1.3325,0.0
63,1178.46,1130.0,688.795,1.3325,0.0
64,1205.24,1140.0,666.078,1.3325,0.0
65,1221.39,1150.0,703.23,1.3325,0.0
66,1204.25,1160.0,707.517,1.3325,0.0
67,1225.43,1170.0,691.281,1.3325,0.0
68,1219.97,1180.0,643.141,1.3325,0.0
69,1198.3,1190.0,666.316,1.3325,0.0
70,1214.93,1200.0,655.853,1.3325,0.0
71,1235.14,1210.0,654.466,1.3325,0.0
72,1200.33,1220.0,689.334,1.3325,0.0
73,1255.37,1230.0,667.186,1.3325,0.0
74,1228.1,1240.0,660.717,1.3325,0.0
75,1154.31,1250.0,684.194,1.3325,0.0
76,1231.63,1260.0,662.153,1.3325,0.0
77,1218.8,1270.0,672.542,1.3325,0.0
78,1226.73,1280.0,667.566,1.3325,0.0
79,1174.23,1290.0,684.807,1.3325,0.0
80,1204.84,1300.0,695.364,1.3325,0.0
81,1215.47,1310.0,686.961,1.3325,0.0
82,1186.79,1320.0,684.663,1.3325,0.0
83,1242.57,1330.0,698.881,1.3325,0.0
84,1207.45,1340.0,653.432,1.3325,0.0
85,1165.57,1350.0,643.455,1.3325,0.0
86,1245.94,1360.0,651.643,1.3325,0.0
87,1244.25,1370.0,646.819,1.3325,0.0
88,1243.22,1380.0,630.131,1.3325,0.0
89,1246.4,1390.0,716.253,1.3325,0.0
90,1235.28,1400.0,614.738,1.3325,0.0
91,1228.86,1410.0,656.9,1.3325,0.0
92,1208.41,1420.0,671.957,1.3325,0.0
93,1214.05,1430.0,657.531,1.3325,0.0
94,1243.7,1440.0,693.189,1.3325,0.0
95,1175.33,1450.0,666.698,1.3325,0.0
96,1234.29,1460.0,606.297,1.3325,0.0
97,1199.7,1470.0,678.555,1.3325,0.0
98,1275.94,1480.0,663.92,1.3325,0.0
99,1220.3,1490.0,625.677,1.3325,0.0
